sample,eruptions,waiting,severe
0,3.6,79,1
1,1.8,54,-1
2,3.333,74,1
3,2.283,62,-1
4,4.533,85,1
5,2.883,55,-1
6,4.7,88,1
7,3.6,85,1
8,1.95,51,-1
9,4.35,85,1
10,1.833,54,-1
11,3.917,84,1
12,4.2,78,1
13,1.75,47,-1
14,4.7,83,1
15,2.167,52,-1
16,1.75,62,-1
17,4.8,84,1
18,1.6,52,-1
19,4.25,79,1
20,1.8,51,-1
21,1.75,47,-1
22,3.45,78,1
23,3.067,69,-1
24,4.533,74,1
25,3.6,83,1
26,1.967,55,-1
27,4.083,76,1
28,3.85,78,1
29,4.433,79,1
30,4.3,73,1
31,4.467,77,1
32,3.367,66,1
33,4.033,80,1
34,3.833,74,1
35,2.017,52,-1
36,1.867,48,-1
37,4.833,80,1
38,1.833,59,-1
39,4.783,90,1
40,4.35,80,1
41,1.883,58,-1
42,4.567,84,1
43,1.75,58,-1
44,4.533,73,1
45,3.317,83,1
46,3.833,64,1
47,2.1,53,-1
48,4.633,82,1
49,2,59,-1
50,4.8,75,1
51,4.716,90,1
52,1.833,54,-1
53,4.833,80,1
54,1.733,54,-1
55,4.883,83,1
56,3.717,71,1
57,1.667,64,-1
58,4.567,77,1
59,4.317,81,1
60,2.233,59,-1
61,4.5,84,1
62,1.75,48,-1
63,4.8,82,1
64,1.817,60,-1
65,4.4,92,1
66,4.167,78,1
67,4.7,78,1
68,2.067,65,-1
69,4.7,73,1
70,4.033,82,1
71,1.967,56,-1
72,4.5,79,1
73,4,71,1
74,1.983,62,-1
75,5.067,76,1
76,2.017,60,-1
77,4.567,78,1
78,3.883,76,1
79,3.6,83,1
80,4.133,75,1
81,4.333,82,1
82,4.1,70,1
83,2.633,65,-1
84,4.067,73,1
85,4.933,88,1
86,3.95,76,1
87,4.517,80,1
88,2.167,48,-1
89,4,86,1
90,2.2,60,-1
91,4.333,90,1
92,1.867,50,-1
93,4.817,78,1
94,1.833,63,-1
95,4.3,72,1
96,4.667,84,1
97,3.75,75,1
98,1.867,51,-1
99,4.9,82,1
100,2.483,62,-1
101,4.367,88,1
102,2.1,49,-1
103,4.5,83,1
104,4.05,81,1
105,1.867,47,-1
106,4.7,84,1
107,1.783,52,-1
108,4.85,86,1
109,3.683,81,1
110,4.733,75,1
111,2.3,59,-1
112,4.9,89,1
113,4.417,79,1
114,1.7,59,-1
115,4.633,81,1
116,2.317,50,-1
117,4.6,85,1
118,1.817,59,-1
119,4.417,87,1
120,2.617,53,-1
121,4.067,69,1
122,4.25,77,1
123,1.967,56,-1
124,4.6,88,1
125,3.767,81,1
126,1.917,45,-1
127,4.5,82,1
128,2.267,55,-1
129,4.65,90,1
130,1.867,45,-1
131,4.167,83,1
132,2.8,56,-1
133,4.333,89,1
134,1.833,46,-1
135,4.383,82,1
136,1.883,51,-1
137,4.933,86,1
138,2.033,53,-1
139,3.733,79,1
140,4.233,81,1
141,2.233,60,-1
142,4.533,82,1
143,4.817,77,1
144,4.333,76,1
145,1.983,59,-1
146,4.633,80,1
147,2.017,49,-1
148,5.1,96,1
149,1.8,53,-1
150,5.033,77,1
151,4,77,1
152,2.4,65,-1
153,4.6,81,1
154,3.567,71,1
155,4,70,1
156,4.5,81,1
157,4.083,93,1
158,1.8,53,-1
159,3.967,89,1
160,2.2,45,-1
161,4.15,86,1
162,2,58,-1
163,3.833,78,1
164,3.5,66,1
165,4.583,76,1
166,2.367,63,-1
167,5,88,1
168,1.933,52,-1
169,4.617,93,1
170,1.917,49,-1
171,2.083,57,-1
172,4.583,77,1
173,3.333,68,1
174,4.167,81,1
175,4.333,81,1
176,4.5,73,1
177,2.417,50,-1
178,4,85,1
179,4.167,74,1
180,1.883,55,-1
181,4.583,77,1
182,4.25,83,1
183,3.767,83,1
184,2.033,51,-1
185,4.433,78,1
186,4.083,84,1
187,1.833,46,-1
188,4.417,83,1
189,2.183,55,-1
190,4.8,81,1
191,1.833,57,-1
192,4.8,76,1
193,4.1,84,1
194,3.966,77,1
195,4.233,81,1
196,3.5,87,1
197,4.366,77,1
198,2.25,51,-1
199,4.667,78,1
200,2.1,60,-1
201,4.35,82,1
202,4.133,91,1
203,1.867,53,-1
204,4.6,78,1
205,1.783,46,-1
206,4.367,77,1
207,3.85,84,1
208,1.933,49,-1
209,4.5,83,1
210,2.383,71,-1
211,4.7,80,1
212,1.867,49,-1
213,3.833,75,1
214,3.417,64,1
215,4.233,76,1
216,2.4,53,-1
217,4.8,94,1
218,2,55,-1
219,4.15,76,1
220,1.867,50,-1
221,4.267,82,1
222,1.75,54,-1
223,4.483,75,1
224,4,78,1
225,4.117,79,1
226,4.083,78,1
227,4.267,78,1
228,3.917,70,1
229,4.55,79,1
230,4.083,70,1
231,2.417,54,-1
232,4.183,86,1
233,2.217,50,-1
234,4.45,90,1
235,1.883,54,-1
236,1.85,54,-1
237,4.283,77,1
238,3.95,79,1
239,2.333,64,-1
240,4.15,75,1
241,2.35,47,-1
242,4.933,86,1
243,2.9,63,-1
244,4.583,85,1
245,3.833,82,1
246,2.083,57,-1
247,4.367,82,1
248,2.133,67,-1
249,4.35,74,1
250,2.2,54,-1
251,4.45,83,1
252,3.567,73,1
253,4.5,73,1
254,4.15,88,1
255,3.817,80,1
256,3.917,71,1
257,4.45,83,1
258,2,56,-1
259,4.283,79,1
260,4.767,78,1
261,4.533,84,1
262,1.85,58,-1
263,4.25,83,1
264,1.983,43,-1
265,2.25,60,-1
266,4.75,75,1
267,4.117,81,1
268,2.15,46,-1
269,4.417,90,1
270,1.817,46,-1
271,4.467,74,1